MODEL,EPOCHS,LEARNING_RATE,TRAINING_IMGSIZE,TOTAL_IMAGES,PREPROCESSING,AUGMENTATIONS,PREDICT_IMAGES,PRECISION,RECALL,F1_SCORE,PREDICT_TIME_PER_IMAGE
FCN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.851,0.93,0.889,0.215
UNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.881,0.889,0.885,4.948
UNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.879,0.89,0.884,5.01
SegNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.882,0.878,0.88,0.881
UNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.871,0.889,0.88,0.133
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.825,0.94,0.879,0.194
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.864,0.894,0.879,0.12
UNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.849,0.904,0.876,0.143
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.878,0.87,0.874,0.824
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.823,0.929,0.873,1.961
HRNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.88,0.866,0.873,0.702
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.905,0.842,0.872,0.354
Mask RCNN,50,0.0001,480x480,63,bilateral smooth filter 9 75 75,scale & 2x,5,0.867,0.877,0.872,0.178
SegNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.828,0.922,0.872,0.84
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.89,0.852,0.871,0.192
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.827,0.917,0.87,0.126
SegNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.827,0.917,0.87,0.887
SegNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.835,0.904,0.868,0.77
FCN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.899,0.838,0.867,0.273
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.802,0.936,0.864,0.292
FCN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.912,0.821,0.864,0.209
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,no,5,0.831,0.9,0.864,1.002
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,scale & 2x,5,0.855,0.873,0.864,0.105
SegNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.91,0.823,0.864,0.779
UNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.909,0.824,0.864,0.149
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,zoom in & 2x,5,0.906,0.824,0.863,0.118
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,shear & 2x,5,0.904,0.823,0.862,0.13
Mask RCNN,50,0.0001,480x480,45,resize 720x720,no,5,0.845,0.88,0.862,0.132
FCN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.899,0.826,0.861,0.251
HRNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.799,0.933,0.861,0.566
SegNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & 2x,5,0.935,0.798,0.861,5.261
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,rotate & flip horizontal vertical & crop & 2x,5,0.875,0.845,0.86,0.105
Mask RCNN,50,0.0001,480x480,45,dilation,no,5,0.893,0.829,0.86,0.262
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.852,0.866,0.859,0.322
FCN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.91,0.813,0.859,0.209
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,rotate & 2x,5,0.908,0.815,0.859,0.107
Mask RCNN,50,0.0001,480x480,45,resize 640x640 & hair removal & gaussian filter,flip horizontal vertical & 2x,5,0.893,0.828,0.859,0.174
HRNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,scale & 2x,5,0.805,0.918,0.858,0.555
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,rotate & shear & flip horizontal vertical & brightness & translate & zoom in & 2x,5,0.816,0.904,0.858,0.148
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,shear & 2x,5,0.799,0.926,0.858,0.128
SegNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & 2x,5,0.9,0.82,0.858,0.9
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,brightness & 2x,5,0.883,0.832,0.857,0.111
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,contrast enhancement & 2x,5,0.799,0.924,0.857,0.112
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.901,0.815,0.856,0.174
Mask RCNN,50,0.0001,480x480,45,resize 480x480,flip horizontal vertical & 2x,5,0.801,0.918,0.856,0.098
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,flip horizontal vertical & 2x,5,0.804,0.908,0.853,0.297
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,crop & rotate & brightness & scale & translate & 2x,5,0.778,0.943,0.853,0.188
Mask RCNN,75,0.0001,720x720,45,no,flip horizontal vertical & 2x,5,0.852,0.854,0.853,0.144
BiseNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,flip horizontal vertical & 2x,5,0.763,0.964,0.852,0.167
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.768,0.955,0.851,0.138
UNet,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,translate & 2x,5,0.914,0.797,0.851,0.131
HRNet,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,translate & 2x,5,0.765,0.956,0.85,0.246
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,rotate & shear & flip horizontal vertical & brightness & translate & zoom in & 2x,5,0.895,0.809,0.85,0.197
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,brightness & 2x,5,0.84,0.858,0.849,0.098
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,brightness & 2x,5,0.885,0.815,0.849,0.103
Mask RCNN,50,0.0001,480x480,45,resize 640x640,flip horizontal vertical & 2x,5,0.866,0.833,0.849,0.121
Mask RCNN,50,0.0001,640x640,45,no,flip horizontal vertical & 2x,5,0.857,0.842,0.849,0.105
UNet,75,0.0001,640x640,45,gaussian filter,flip horizontal vertical & 2x,5,0.884,0.816,0.849,0.348
Mask RCNN,50,0.0001,480x480,63,adaptive median filter 3,brightness & 2x,5,0.901,0.8,0.848,0.107
Mask RCNN,50,0.0001,480x480,45,bilateral smooth filter 15 100 100,crop & rotate & brightness & scale & translate & 2x,5,0.758,0.96,0.847,0.138
Mask RCNN,50,0.0001,480x480,45,resize 640x640,no,5,0.871,0.824,0.847,0.113
Mask RCNN,50,0.0001,480x480,45,gabor filter,flip horizontal vertical & 2x,5,0.805,0.891,0.846,0.102
UNet,50,0.0001,720x720,45,no,flip horizontal vertical & 2x,5,0.848,0.844,0.846,0.299
FCN,50,0.0001,480x480,45,bilateral smooth filter 9 75 75,scale & 2x,5,0.756,0.958,0.845,0.289
Mask RCNN,50,0.0001,480x480,45,adaptive median filter 3,translate & 2x,5,0.883,0.81,0.845,0.111
